file,component,subject,prompt,status
crisis-11-civil-strife-in-benjamin.png,Crisis card,"brothers fighting brothers among olive trees, banners fallen","brothers fighting brothers among olive trees, banners fallen, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-12-the-angel-of-the-lord.png,Crisis card,"a robed messenger standing in a field of thorns, face unseen","a robed messenger standing in a field of thorns, face unseen, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-13-the-day-of-midian.png,Crisis card,three hundred torches breaking from clay jars in a night camp,"three hundred torches breaking from clay jars in a night camp, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
crisis-14-in-those-days-there-was-no-king.png,Crisis card,a crossroads with no signpost under an enormous empty sky,"a crossroads with no signpost under an enormous empty sky, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
oppressor-aram.png,Oppressor card,a distant Aramean king enthroned beyond a river of dust,"a distant Aramean king enthroned beyond a river of dust, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
oppressor-moab.png,Oppressor card,a very fat king alone in a cool upper chamber,"a very fat king alone in a cool upper chamber, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
oppressor-hazor.png,Oppressor card,nine hundred chariots ranked across a plain at dawn,"nine hundred chariots ranked across a plain at dawn, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
oppressor-midian.png,Oppressor card,camel raiders stripping a threshing floor bare,"camel raiders stripping a threshing floor bare, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
oppressor-ammon.png,Oppressor card,an Ammonite host massed on the far bank of the Jordan,"an Ammonite host massed on the far bank of the Jordan, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
oppressor-philistia.png,Oppressor card,"a Philistine smithy, the only forge in the land","a Philistine smithy, the only forge in the land, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
judge-othniel.png,Judge card,a young judge kneeling alone at a field altar,"a young judge kneeling alone at a field altar, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
judge-ehud.png,Judge card,a left hand drawing a short blade from beneath a cloak,"a left hand drawing a short blade from beneath a cloak, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
judge-deborah-barak.png,Judge card,a woman seated in judgement beneath a palm tree,"a woman seated in judgement beneath a palm tree, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
judge-gideon.png,Judge card,a farmer threshing wheat in hiding inside a winepress,"a farmer threshing wheat in hiding inside a winepress, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
judge-jephthah.png,Judge card,an outcast captain returning at the head of raiders,"an outcast captain returning at the head of raiders, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
judge-samson.png,Judge card,a long-haired strong man with his hands on two pillars,"a long-haired strong man with his hands on two pillars, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
tribe-judah.png,Tribe board,a lion couchant on a rock above a valley,"a lion couchant on a rock above a valley, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-benjamin.png,Tribe board,a wolf at dawn beside a broken bowstring,"a wolf at dawn beside a broken bowstring, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-levi.png,Tribe board,a stone altar with rising smoke and a plain linen ephod,"a stone altar with rising smoke and a plain linen ephod, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-ephraim.png,Tribe board,a heavy sheaf of ripe wheat bound with cord,"a heavy sheaf of ripe wheat bound with cord, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-manasseh.png,Tribe board,a walled hill town of thirty towers seen from below,"a walled hill town of thirty towers seen from below, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-reuben.png,Tribe board,"still water over deep stone, a shepherd waiting at the ford","still water over deep stone, a shepherd waiting at the ford, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-simeon.png,Tribe board,a bundle of iron-headed spears driven into dry ground,"a bundle of iron-headed spears driven into dry ground, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-dan.png,Tribe board,"a serpent coiled at a mountain pass, a torn lion jaw nearby","a serpent coiled at a mountain pass, a torn lion jaw nearby, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-naphtali.png,Tribe board,a hind leaping across a northern hillside at first light,"a hind leaping across a northern hillside at first light, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-gad.png,Tribe board,"a fortified camp on a raided frontier, dust on the horizon","a fortified camp on a raided frontier, dust on the horizon, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-asher.png,Tribe board,olive presses and jars of oil in a rich coastal grove,"olive presses and jars of oil in a rich coastal grove, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-issachar.png,Tribe board,a strong ass at rest beside a sundial of stones,"a strong ass at rest beside a sundial of stones, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
tribe-zebulun.png,Tribe board,a harbour of beached trading ships under a bruised sky,"a harbour of beached trading ships under a bruised sky, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 3:2",todo
reference-covenant.png,Reference card,a bronze balance scale against a plain wall,"a bronze balance scale against a plain wall, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
reference-cycle.png,Reference card,a wheel rut worn deep into a stone road,"a wheel rut worn deep into a stone road, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
reference-scoring.png,Reference card,a heap of grain and a stack of clay counting tokens,"a heap of grain and a stack of clay counting tokens, painted illustration in the manner of a 19th-century engraved bible plate, muted ochre umber and bone palette with one desaturated accent, dramatic low sunlight, dust in the air, late bronze age Levant, hand-inked texture, no text, no lettering, no watermark, no border --ar 5:7",todo
